epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6446,2.15031,6.34873,2.01024,0.27599,0.21066,0.16808,0.08362,1.9851,7.19504,1.67832,0.00022,0.00022,0.00022
2,74.198,1.64666,2.30601,1.61195,0.2289,0.46264,0.26101,0.10613,1.87143,3.269,1.76867,0.000449991,0.000449991,0.000449991
1,39.7275,2.15031,6.34873,2.01024,0.27599,0.21066,0.16808,0.08362,1.9851,7.19504,1.67832,0.00022,0.00022,0.00022
3,106.899,1.58197,2.27209,1.55086,0.59052,0.34615,0.28159,0.11907,1.88862,2.91918,1.78765,0.000679946,0.000679946,0.000679946
2,72.5186,1.64666,2.30601,1.61195,0.2289,0.46264,0.26101,0.10613,1.87143,3.269,1.76867,0.000449991,0.000449991,0.000449991
4,139.924,1.66581,1.95174,1.65983,0.30463,0.44641,0.29783,0.10998,2.00733,5.00797,2.0419,0.000909837,0.000909837,0.000909837
3,104.889,1.58197,2.27209,1.55086,0.59052,0.34615,0.28159,0.11907,1.88862,2.91918,1.78765,0.000679946,0.000679946,0.000679946
5,173.22,1.6786,1.91794,1.69246,0.96501,0.05022,0.08817,0.03053,2.5782,inf,2.93477,0.000999681,0.000999681,0.000999681
4,138.033,1.66581,1.95174,1.65983,0.30463,0.44641,0.29783,0.10998,2.00733,5.00797,2.0419,0.000909837,0.000909837,0.000909837
6,206.578,1.61816,1.94518,1.64638,0.3056,0.43077,0.31753,0.13327,2.07048,7.95914,2.17226,0.000999502,0.000999502,0.000999502
5,171.047,1.6786,1.91794,1.69246,0.96501,0.05022,0.08817,0.03053,2.5782,inf,2.93477,0.000999681,0.000999681,0.000999681
7,238.468,1.69723,1.86864,1.68877,0.45739,0.3478,0.33835,0.14502,1.90608,2.70203,1.90424,0.000999282,0.000999282,0.000999282
6,204.138,1.61816,1.94518,1.64638,0.3056,0.43077,0.31753,0.13327,2.07048,7.95914,2.17226,0.000999502,0.000999502,0.000999502
8,271.017,1.65144,1.77322,1.64521,0.43238,0.37628,0.29286,0.11435,2.03443,3.53788,1.92719,0.000999023,0.000999023,0.000999023
7,236.265,1.69723,1.86864,1.68877,0.45739,0.3478,0.33835,0.14502,1.90608,2.70203,1.90424,0.000999282,0.000999282,0.000999282
8,268.792,1.65144,1.77322,1.64521,0.43238,0.37628,0.29286,0.11435,2.03443,3.53788,1.92719,0.000999023,0.000999023,0.000999023
9,301.423,1.59251,1.73126,1.61603,0.24634,0.49923,0.3164,0.12844,1.89076,4.56743,1.87906,0.000998724,0.000998724,0.000998724
10,333.124,1.65665,1.78585,1.6684,0.34719,0.43204,0.34624,0.14857,1.92845,2.67051,1.96806,0.000998386,0.000998386,0.000998386
11,364.342,1.62132,1.67745,1.67146,0.3806,0.53814,0.44904,0.19395,1.70347,3.76327,1.61878,0.000998007,0.000998007,0.000998007
12,395.509,1.59897,1.73742,1.60976,0.57447,0.47188,0.4957,0.20791,1.76755,1.86563,1.65183,0.000997589,0.000997589,0.000997589
13,427.148,1.49498,1.65692,1.51616,0.51365,0.47513,0.47803,0.22517,1.7293,1.98096,1.66227,0.000997131,0.000997131,0.000997131
14,459.251,1.55735,1.67788,1.57831,0.56387,0.53277,0.54431,0.24655,1.65845,1.90505,1.60193,0.000996634,0.000996634,0.000996634
15,488.965,1.57758,1.62424,1.62968,0.47539,0.50977,0.51275,0.23476,1.79014,1.81587,1.68434,0.000996097,0.000996097,0.000996097
16,521.21,1.54696,1.62143,1.59068,0.54417,0.52259,0.5836,0.29268,1.58352,2.15346,1.5149,0.00099552,0.00099552,0.00099552
