epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.452,1.59956,1.23068,2.07595,0.8203,0.81332,0.88436,0.51879,1.28131,0.68844,1.57043,0.00022,0.00022,0.00022
2,84.1013,1.25898,0.77733,1.53813,0.81946,0.85281,0.89158,0.58916,1.08897,0.70882,1.33998,0.000445086,0.000445086,0.000445086
3,124.682,1.05327,0.66209,1.30163,0.82053,0.80441,0.85574,0.5548,1.13458,0.73083,1.29657,0.00065062,0.00065062,0.00065062
4,165.726,1.12773,0.79704,1.34003,0.76557,0.76671,0.82284,0.50058,1.22798,0.88702,1.33657,0.000823146,0.000823146,0.000823146
5,204.482,1.04689,0.6991,1.25474,0.80983,0.81939,0.87749,0.5667,1.10879,0.77453,1.27331,0.000834648,0.000834648,0.000834648
6,241.717,0.99644,0.64881,1.2162,0.81501,0.82427,0.87895,0.55546,1.15554,0.75439,1.28243,0.000750125,0.000750125,0.000750125
7,281.36,0.99727,0.66451,1.2078,0.77692,0.70523,0.77232,0.47344,1.27273,1.00258,1.40826,0.000654681,0.000654681,0.000654681
8,318.535,0.9429,0.60689,1.17375,0.89061,0.90112,0.94836,0.68294,0.95685,0.57673,1.12461,0.000552488,0.000552488,0.000552488
9,357.183,0.90532,0.56462,1.14463,0.89806,0.89251,0.94462,0.69171,0.91361,0.57416,1.10714,0.000448012,0.000448012,0.000448012
10,394.733,0.8766,0.53546,1.12453,0.92537,0.91847,0.96552,0.71756,0.88721,0.50465,1.07369,0.000345819,0.000345819,0.000345819
11,438.135,0.84699,0.53892,1.13662,0.94222,0.93685,0.97268,0.74638,0.82499,0.47422,1.02726,0.000250375,0.000250375,0.000250375
12,477.768,0.80366,0.48053,1.08788,0.94973,0.94401,0.97956,0.76667,0.7845,0.4406,1.01009,0.000165852,0.000165852,0.000165852
13,516.889,0.76041,0.45704,1.06074,0.95862,0.94665,0.98344,0.78172,0.76359,0.42365,0.99058,9.59438e-05,9.59438e-05,9.59438e-05
14,555.028,0.79791,0.53659,1.12748,0.95829,0.95303,0.98294,0.7901,0.74251,0.41467,0.98318,4.37057e-05,4.37057e-05,4.37057e-05
15,594.051,0.73585,0.43766,1.04569,0.96237,0.95476,0.98468,0.79288,0.73569,0.41052,0.97749,1.14207e-05,1.14207e-05,1.14207e-05
